,date,ndate,instrument,sname,hymc,forecast,forecasttype,increasel,increaset,zfpx,changereasondscrpt,forecastcontent
0,2020-03-31,2020-01-16,000818.SZA,航锦科技,化工行业,unknown,续盈,-11.05,17.99,3.47,"公司业绩变动的原因包括(一)公司军民两用的芯片销售实现大幅增长:子公司长沙韶光向客户供应的FPGA芯片、自主可控的图形处理芯片(GPU)和总线接口芯片等芯片产品销量同比大幅增长;子公司威科电子的新能源汽车用电子模块、5G通讯用电子模块和高性能模块实现批量化供应;威科电子控股子公司威科射频研发出用于华为和中兴通讯等5G设备生产商的射频器件和高频材料并实现销售,这些射频器件和高频材料适用于5G通讯,能实现进口替代,解决国内5G设备生产商受制国外的问题,未来市场空间广阔;长沙韶光和威科电子通过大力拓广民用芯片市场,为公司发展打开更大的空间。(二)按公司经营板块划分,集成电路板块预计实现净利润3,800—4,500万元,同比增长52.67%—80.80%;化工板块预计实现净利润6,000—8,500万元,同比下滑30%—0%。(三)2019年一季度,公司化工主导产品的价格尚处于历史相对高位,2020年一季度化工产品平均售价尚未明显回升。受宏观经济的周期性波动影响,公司主要化工产品的销售价格有所波动,公司通过实施精细化管理来控制成本,随着2019年第二、三季度基数的回落,公司2020年后续季度化工业务盈利同比将提升。","预计2020年1-3月归属于上市公司股东的净利润盈利:9,800万元至13,000万元,同比上年变动:-11.05%至17.99%。"
1,2020-03-31,2020-02-28,833684.SHA,联赢激光,nan,unknown,续盈,-15.14,1.36,-6.89,"2020年1月,我国爆发新型冠状病毒肺炎疫情,受政府管控措施及疫情整体影响,公司、供应商及客户复工复产进度延后,对公司短期生产经营及2020年一季度业绩存在一定的影响。但相关影响主要体现为时间与节奏上,公司主要客户订单不会丢失,只是延期一些时间。总体而言,疫情对公司生产经营的影响可控,不会对发行人的全年业绩及持续经营能力造成重大影响。","预计2020年1-3月归属于上市公司股东的净利润盈利:360.00万元-430.00万元,同比变动-15.14%至1.36%。"
2,2020-03-31,2020-02-28,300401.SZA,花园生物,食品饮料,reduction,预减,-53.55,-25.69,-39.62,"1、报告期内业绩变动的主要原因:受新冠肺炎疫情影响,物流不畅,本期维生素D3产品售价同比下滑,使公司利润下降。2、预计非经常性损益对净利润的影响金额约为1,950-2,150万元。","预计2020年1-3月归属于上市公司股东的净利润盈利:6,000万元至9,600万元,同比上年下降:25.69%至53.55%。"
3,2020-03-31,2020-02-29,300322.SZA,硕贝德,通讯行业,reduction,预减,-72.59,-56.14,-64.365,"因新型冠状病毒疫情,产业链复工延迟,对公司的生产和经营造成一定的负面影响。2020年第一季度,预计归属于上市公司股东的净利润500万至800万元左右,比上年同期下降56.14%至72.59%。公司积极采取有效措施,应对疫情,全面推动复工复产,各项工作有序推进。","预计2020年1-3月归属于上市公司股东的净利润盈利:500万元至800万元,同比上年下降:56.14%至72.59%。"
4,2020-03-31,2020-02-29,300231.SZA,银信科技,软件服务,unknown,续盈,-20.0,10.0,-5.0,"报告期内,北京银信长远科技股份有限公司(以下简称“公司”)保持在金融行业和运营商行业的竞争优势,公司业务保持良好的发展态势。2020年一季度,由于新型冠状病毒疫情的冲击,企业复工生产受到了一定影响,为尽可能降低疫情对业务发展的影响,公司积极应对,出台新型肺炎疫情期间设备维护及应急预案,成立应急指挥中心,保证远程在线预防性监控,设置故障通报、处理应急流程,指定专人对接指定客户,减少人员接触带来感染风险,全力做好客户信息系统的运维保障工作。同时,公司强化管理,提质增效,确保安全有序复工,灵活处理,特事特办,共克时艰。预计公司在2020年第一季度的营业收入及归属于上市公司股东的净利润与去年同期相比将基本持平。报告期内,公司的非经常性损益预计为107.36万元,公司预计净利润为1,517.18万元–2,086.12万元之间,报告期内的非经常性损益主要为收到的政府补贴。","预计2020年1-3月归属于上市公司股东的净利润盈利:1,517.18万元至2,086.12万元,同比上年变动:-20%至10%。"
5,2020-03-31,2020-02-29,300193.SZA,佳士科技,机械行业,reduction,略减,-15.0,0.0,-7.5,"公司本期业绩下降的原因为受新冠病毒肺炎疫情的影响,销售下降导致公司归属于上市公司股东的净利润下降。报告期内非经常性损益对净利润的影响约为500万元。","预计2020年1-3月归属于上市公司股东的净利润盈利:2,514.67万元至2,958.44万元,同比上年下降:0%至15%。"
6,2020-03-31,2020-03-02,300823.SZA,建科机械,专用设备,unknown,续盈,-14.43,6.0,-4.215,,"预计2020年1-3月归属于上市公司股东的净利润盈利1,434.84万元-1,777.37万元,同比上期变动-14.43%-6.00%。"
7,2020-03-31,2020-03-05,300727.SZA,润禾材料,化工行业,reduction,预减,-67.49,-45.82,-56.655,"1、报告期内,受新冠肺炎疫情影响,公司下游客户复工滞后,导致公司产品销量较去年同期有所下降。鉴于产品销量减少,公司产能利用率降低,进而导致产品单位制造成本有所上升;2、报告期内,为支援疫情防控工作,公司通过官方渠道捐款50万元;3、报告期内,非经常性损益对净利润的影响金额约为5万元,去年同期为123.62万元。","预计2020年1-3月归属于上市公司股东的净利润盈利:450万元至750万元,同比上年下降:45.82%至67.49%。"
8,2020-03-31,2020-03-06,300686.SZA,智动力,电子元件,reduction,略减,-23.0,-5.4,-14.2,"1、本报告期,归属于上市公司股东的净利润与去年同期相比,预计下降5.40%-23.00%,主要受到非经营性损益差异的影响,去年同期,因追加对非同一控制下的被投资方的投资控股所形成的投资收益、及政府补助收益的非经常性损益对公司净利润的影响为3,018.56万元,本报告期非经营性损益估计金额约为0.4万元。2、扣非利润同比预计上升129.23%-181.62%,主要原因是本报告期与去年同期对比,产品销售结构发生变化所带来的毛利上升的影响。","预计2020年1-3月归属于上市公司股东的净利润盈利:3,500万元至4,300万元,同比上年下降:5.4%至23%。"
9,2020-03-31,2020-03-09,300212.SZA,易华录,软件服务,unknown,续盈,-25.0,5.0,-10.0,"公司2020年第一季度经营业绩相比上年同期基本持平或可能略有下降,主要是因为受新型冠状病毒疫情影响,公司项目订单及交付量都有所下滑。预计2020年第一季度非经常性损益对公司净利润的影响约为162.78万元,上年同期非经常性损益对公司净利润的影响为1968.37万元。","预计2020年1-3月归属于上市公司股东的净利润盈利:5,790.43万元至8,106.61万元,同比上年变动:-25%至5%。"
10,2020-03-31,2020-03-10,300825.SZA,阿尔特,汽车行业,reduction,略减,-44.01,-33.08,-38.545,,"预计2020年1-3月归属于上市公司股东的净利润2,279.06万元-2,724.13万元,较上年同比下降 44.01%-33.08%。"
11,2020-03-31,2020-03-10,300632.SZA,光莆股份,电子元件,reduction,略减,-30.0,0.0,-15.0,"1、受新型冠状病毒肺炎疫情的影响,本期公司销售收入有所下降。2、2020年第一季度,预计非经常性损益对公司净利润的影响金额约为150万元。","预计2020年1-3月归属于上市公司股东的净利润盈利:1,806.21万元至2,580.3万元,同比上年下降:0%至30%。"
12,2020-03-31,2020-03-12,300016.SZA,北陆药业,医药制造,reduction,略减,-40.0,-10.0,-25.0,"报告期内,受新冠肺炎疫情影响,全国各地医院积极抗击疫情,部分医院至今仍未恢复正常门诊,门诊量、检测量、手术量等均大幅下降,药品销售终端需求受到明显影响;此外,物流运输受到一定程度管控,也导致公司业绩较去年同期有所下降。2020年第一季度,非经常性损益对归属于上市公司股东的净利润的影响金额约为213.57万元。","预计2020年1-3月归属于上市公司股东的净利润盈利:2,433.96万元至3,650.94万元,同比上年下降:10%至40%。"
13,2020-03-31,2020-03-13,300286.SZA,安科瑞,输配电气,reduction,略减,-30.0,0.0,-15.0,"公司2020年第一季度净利润较上年同期略有下降,主要是受新型冠状病毒疫情影响,公司销售订单及交付量都有所下滑。","预计2020年1-3月归属于上市公司股东的净利润盈利:1,376.15万元至1,965.93万元,同比上年下降:0%至30%。"
14,2020-03-31,2020-03-13,300726.SZA,宏达电子,电子元件,reduction,略减,-30.0,-10.0,-20.0,"报告期内,受新冠疫情影响,公司下游客户复工时间延迟,项目验收进度放缓,导致公司一季度的订单交付、验收等工作无法按期进行。公司2020年第一季度预计非经常性损益对净利润的正向影响金额约为156万元。","预计2020年1-3月归属于上市公司股东的净利润盈利:3,859.46万元至4,962.17万元,同比上年下降:10%至30%。"
15,2020-03-31,2020-03-14,002370.SZA,亚太药业,医药制造,reduction,略减,,,,"公司计提湖北省科技投资集团有限公司股权溢价收益、公开发行可转换公司债券计提利息,导致财务费用增加;绍兴滨海新城新建的“亚太药业现代医药制剂一期、二期项目”部分生产线已投入生产,相应折旧费用、水电气及人工工资费用增加;公司失去对上海新高峰及其子公司控制,本期未将其纳入合并报表范围;同时,受新冠肺炎疫情的影响,预计公司第一季度销量有所下降,致使报告期归属于上市公司股东的净利润同比下降。",预计2020年1-3月归属于上市公司股东的净利润同比下降。
16,2020-03-31,2020-03-14,300752.SZA,隆利科技,电子元件,reduction,预减,-89.65,-65.51,-77.58,"预计2020年第一季度净利润与去年同期相比减少,主要原因是:1)因新型冠状病毒疫情,公司及相关产业链复工延迟,并且复工后员工到岗率大大降低,产能严重不足,公司成本占比上升,对公司的生产和经营造成负面影响;2)公司2019年12月进行了股权激励,计提股份支付费用导致管理费用增加,影响2020年第一季度净利润。","预计2020年1-3月归属于上市公司股东的净利润盈利:300万元至1,000万元,同比上年下降:65.51%至89.65%。"
17,2020-03-31,2020-03-17,300204.SZA,舒泰神,医药制造,reduction,首亏,-193.09,-178.76,-185.925,"报告期内,公司销售活动受疫情影响严重,销售收入和销售利润下降显著;研发活动持续开展,投入有所增加。上述双重因素导致公司在2020年第一季度业绩较差。预计2019年第一季度公司非经常性损益约为996.51万元。","预计2020年1-3月归属于上市公司股东的净利润亏损:约2,200万元至2,600万元。"
18,2020-03-31,2020-03-17,002902.SZA,铭普光磁,电子元件,reduction,首亏,-303.22,-239.04,-271.13,"受疫情影响,相关产业链整体复工延迟,经济运行效率降低,人员复工延后,运营成本上升,生产经营受到一定的不利影响,预计公司第一季度销售额及利润下降。","预计2020年1-3月归属于上市公司股东的净利润亏损:1,300万元-1,900万元。"
